,smote,smote-enn,borderline-smote
Logistic Regression,0.5726771803154095,0.5477044476327116,0.5135090879318814
K-Nearest Neighbors,0.6092950856126307,0.5904683309263462,0.6230039342744735
Random Forest,0.7526753864447087,0.6891367604267701,0.6995947315096251
Decision Tree,0.7101857062464828,0.66110183639399,0.48224187022328785
XGBoost,0.3148148148148148,0.3148148148148148,0.3148148148148148
