,smote,smote-enn,borderline-smote
Logistic Regression,0.8874205336136557,0.8737548180407468,0.8512789708164389
K-Nearest Neighbors,0.9120488561846123,0.9006357310907543,0.9184562246583571
Random Forest,0.9583521049206588,0.9358262001301497,0.9406317264854582
Decision Tree,0.9484407068128348,0.9288681984281925,0.8270511087750914
XGBoost,0.6295740101116284,0.6295740101116284,0.6295740101116284
