,smote,smote-enn,borderline-smote
Logistic Regression,0.8864705882352941,0.898235294117647,0.9223529411764706
K-Nearest Neighbors,0.8058823529411765,0.841764705882353,0.7917647058823529
Random Forest,0.7447058823529412,0.8358823529411765,0.8123529411764706
Decision Tree,0.7423529411764705,0.8152941176470588,0.9464705882352941
XGBoost,1.0,1.0,1.0
