,smote,smote-enn,borderline-smote
Logistic Regression,0.9611424194342615,0.9611483413740832,0.9603669027932888
K-Nearest Neighbors,0.9256125345580593,0.8975529997521798,0.9058740654438718
Random Forest,0.9689169126095478,0.9693812377497916,0.9725027115403803
Decision Tree,0.8551813594070335,0.8773630953721973,0.9513992996662473
XGBoost,0.9510627307223157,0.8954765391411257,0.8994656093000203
